event_id,event_type,severity,impact_score
DIS00001,Earthquake,High,58
DIS00002,Flood,Medium,8
DIS00003,Supplier Failure,Medium,65
DIS00004,Supplier Failure,Medium,63
DIS00005,Supplier Failure,Medium,78
DIS00006,Earthquake,Low,9
DIS00007,Supplier Failure,Medium,89
DIS00008,Supplier Failure,Low,25
DIS00009,Supplier Failure,High,63
DIS00010,Earthquake,High,29
DIS00011,Port Closure,Low,2
DIS00012,Flood,Low,61
DIS00013,Port Closure,Low,81
DIS00014,Flood,Medium,51
DIS00015,Cyber Attack,Low,16
DIS00016,Cyber Attack,High,24
DIS00017,Supplier Failure,High,75
DIS00018,Port Closure,Medium,24
DIS00019,Flood,Medium,90
DIS00020,Cyber Attack,Medium,82
DIS00021,Flood,High,29
DIS00022,Cyber Attack,Medium,9
DIS00023,Port Closure,Low,76
DIS00024,Port Closure,Medium,71
DIS00025,Earthquake,Low,88
DIS00026,Cyber Attack,High,47
DIS00027,Flood,Medium,93
DIS00028,Cyber Attack,Low,62
DIS00029,Cyber Attack,Medium,77
DIS00030,Port Closure,High,84
DIS00031,Supplier Failure,Medium,66
DIS00032,Cyber Attack,Medium,14
DIS00033,Earthquake,High,37
DIS00034,Flood,High,56
DIS00035,Port Closure,Low,17
DIS00036,Port Closure,Medium,29
DIS00037,Flood,Medium,15
DIS00038,Supplier Failure,Medium,27
DIS00039,Earthquake,Medium,43
DIS00040,Supplier Failure,High,19
DIS00041,Supplier Failure,High,47
DIS00042,Earthquake,Low,19
DIS00043,Flood,Medium,84
DIS00044,Cyber Attack,Low,75
DIS00045,Earthquake,Medium,14
DIS00046,Port Closure,High,9
DIS00047,Flood,Low,26
DIS00048,Supplier Failure,Low,98
DIS00049,Port Closure,Medium,42
DIS00050,Earthquake,Medium,11
DIS00051,Supplier Failure,Low,19
DIS00052,Supplier Failure,High,86
DIS00053,Supplier Failure,Medium,3
DIS00054,Supplier Failure,Medium,99
DIS00055,Cyber Attack,High,37
DIS00056,Flood,High,78
DIS00057,Port Closure,High,79
DIS00058,Flood,Medium,26
DIS00059,Earthquake,High,17
DIS00060,Cyber Attack,Low,43
DIS00061,Supplier Failure,High,53
DIS00062,Cyber Attack,Medium,100
DIS00063,Earthquake,High,62
DIS00064,Flood,Low,85
DIS00065,Port Closure,High,96
DIS00066,Port Closure,High,44
DIS00067,Supplier Failure,Low,64
DIS00068,Port Closure,Medium,19
DIS00069,Port Closure,Medium,64
DIS00070,Flood,Low,51
DIS00071,Supplier Failure,Medium,36
DIS00072,Port Closure,Medium,89
DIS00073,Earthquake,Medium,13
DIS00074,Cyber Attack,High,79
DIS00075,Supplier Failure,Low,50
DIS00076,Port Closure,High,52
DIS00077,Earthquake,Medium,15
DIS00078,Supplier Failure,Low,75
DIS00079,Earthquake,High,57
DIS00080,Cyber Attack,High,42
DIS00081,Cyber Attack,Low,41
DIS00082,Earthquake,Medium,21
DIS00083,Supplier Failure,High,9
DIS00084,Cyber Attack,High,3
DIS00085,Earthquake,Low,56
DIS00086,Cyber Attack,Medium,87
DIS00087,Earthquake,High,37
DIS00088,Port Closure,Medium,4
DIS00089,Flood,Medium,35
DIS00090,Flood,High,3
DIS00091,Flood,Medium,10
DIS00092,Supplier Failure,High,96
DIS00093,Port Closure,High,33
DIS00094,Port Closure,High,13
DIS00095,Supplier Failure,Low,38
DIS00096,Flood,Medium,53
DIS00097,Flood,High,92
DIS00098,Earthquake,Medium,98
DIS00099,Earthquake,Medium,52
DIS00100,Cyber Attack,Low,51
DIS00101,Earthquake,High,50
DIS00102,Earthquake,Medium,2
DIS00103,Supplier Failure,High,5
DIS00104,Earthquake,Medium,17
DIS00105,Port Closure,High,95
DIS00106,Earthquake,Low,78
DIS00107,Supplier Failure,High,22
DIS00108,Supplier Failure,High,37
DIS00109,Earthquake,Medium,20
DIS00110,Supplier Failure,Low,53
DIS00111,Cyber Attack,Medium,94
DIS00112,Flood,Low,57
DIS00113,Supplier Failure,Medium,32
DIS00114,Flood,Low,33
DIS00115,Port Closure,Low,96
DIS00116,Earthquake,High,85
DIS00117,Port Closure,Medium,82
DIS00118,Flood,Low,73
DIS00119,Earthquake,High,36
DIS00120,Earthquake,Medium,54
DIS00121,Flood,High,55
DIS00122,Port Closure,Low,55
DIS00123,Port Closure,Low,83
DIS00124,Earthquake,Medium,7
DIS00125,Cyber Attack,High,46
DIS00126,Port Closure,Medium,87
DIS00127,Port Closure,High,21
DIS00128,Earthquake,Medium,99
DIS00129,Supplier Failure,Medium,33
DIS00130,Earthquake,High,50
DIS00131,Cyber Attack,Low,19
DIS00132,Supplier Failure,High,85
DIS00133,Flood,Low,26
DIS00134,Cyber Attack,Medium,49
DIS00135,Flood,Low,7
DIS00136,Port Closure,High,86
DIS00137,Flood,High,42
DIS00138,Port Closure,Medium,43
DIS00139,Earthquake,High,16
DIS00140,Earthquake,Low,74
DIS00141,Cyber Attack,Low,32
DIS00142,Port Closure,High,7
DIS00143,Supplier Failure,High,61
DIS00144,Supplier Failure,Low,7
DIS00145,Cyber Attack,High,50
DIS00146,Flood,Medium,96
DIS00147,Supplier Failure,Low,10
DIS00148,Supplier Failure,Medium,63
DIS00149,Flood,Medium,20
DIS00150,Cyber Attack,Low,94
DIS00151,Port Closure,Low,16
DIS00152,Earthquake,Medium,3
DIS00153,Earthquake,Low,38
DIS00154,Supplier Failure,Low,35
DIS00155,Earthquake,High,4
DIS00156,Earthquake,Medium,41
DIS00157,Flood,Low,78
DIS00158,Port Closure,High,72
DIS00159,Cyber Attack,Low,43
DIS00160,Flood,Low,22
DIS00161,Flood,Medium,11
DIS00162,Cyber Attack,High,47
DIS00163,Supplier Failure,Low,91
DIS00164,Port Closure,High,37
DIS00165,Earthquake,High,10
DIS00166,Port Closure,Medium,98
DIS00167,Flood,High,77
DIS00168,Earthquake,Low,2
DIS00169,Flood,High,37
DIS00170,Earthquake,High,14
DIS00171,Port Closure,Medium,28
DIS00172,Cyber Attack,High,35
DIS00173,Earthquake,Low,44
DIS00174,Port Closure,High,51
DIS00175,Port Closure,Medium,1
DIS00176,Supplier Failure,High,59
DIS00177,Cyber Attack,Low,60
DIS00178,Cyber Attack,Medium,28
DIS00179,Supplier Failure,Medium,87
DIS00180,Port Closure,Low,3
DIS00181,Earthquake,Medium,100
DIS00182,Earthquake,Low,89
DIS00183,Cyber Attack,Low,90
DIS00184,Port Closure,High,88
DIS00185,Port Closure,Low,32
DIS00186,Cyber Attack,High,9
DIS00187,Supplier Failure,High,11
DIS00188,Cyber Attack,Medium,43
DIS00189,Flood,Medium,24
DIS00190,Flood,Medium,17
DIS00191,Supplier Failure,Medium,14
DIS00192,Port Closure,High,46
DIS00193,Port Closure,Medium,67
DIS00194,Flood,Low,17
DIS00195,Supplier Failure,Medium,88
DIS00196,Port Closure,High,54
DIS00197,Flood,High,99
DIS00198,Flood,High,34
DIS00199,Flood,Low,74
DIS00200,Cyber Attack,High,43
DIS00201,Flood,High,32
DIS00202,Flood,High,64
DIS00203,Flood,Low,43
DIS00204,Flood,Low,78
DIS00205,Cyber Attack,High,47
DIS00206,Supplier Failure,Low,98
DIS00207,Earthquake,High,93
DIS00208,Supplier Failure,High,25
DIS00209,Supplier Failure,High,21
DIS00210,Port Closure,Medium,22
DIS00211,Cyber Attack,Medium,10
DIS00212,Cyber Attack,High,94
DIS00213,Cyber Attack,High,68
DIS00214,Cyber Attack,Medium,66
DIS00215,Earthquake,Medium,30
DIS00216,Supplier Failure,Low,3
DIS00217,Port Closure,High,22
DIS00218,Flood,High,67
DIS00219,Earthquake,Medium,15
DIS00220,Supplier Failure,Medium,76
DIS00221,Port Closure,Medium,83
DIS00222,Supplier Failure,Low,17
DIS00223,Port Closure,Low,88
DIS00224,Flood,Medium,98
DIS00225,Cyber Attack,Medium,59
DIS00226,Cyber Attack,Medium,18
DIS00227,Flood,High,16
DIS00228,Flood,Medium,74
DIS00229,Supplier Failure,Low,6
DIS00230,Cyber Attack,Medium,95
DIS00231,Port Closure,Medium,26
DIS00232,Flood,High,57
DIS00233,Cyber Attack,Low,31
DIS00234,Supplier Failure,High,33
DIS00235,Earthquake,Medium,24
DIS00236,Port Closure,Low,65
