sku,product,current_stock,reorder_point
SKU00001,Product-1,9297,1282
SKU00002,Product-2,9090,1571
SKU00003,Product-3,4213,950
SKU00004,Product-4,7006,658
SKU00005,Product-5,4531,1646
SKU00006,Product-6,2322,425
SKU00007,Product-7,7148,851
SKU00008,Product-8,3229,167
SKU00009,Product-9,6469,967
SKU00010,Product-10,7840,826
SKU00011,Product-11,9632,1439
SKU00012,Product-12,6185,1939
SKU00013,Product-13,1330,424
SKU00014,Product-14,9639,1939
SKU00015,Product-15,6659,1238
SKU00016,Product-16,9813,857
SKU00017,Product-17,3003,1733
SKU00018,Product-18,77,960
SKU00019,Product-19,5528,1633
SKU00020,Product-20,6640,1877
SKU00021,Product-21,888,741
SKU00022,Product-22,7688,558
SKU00023,Product-23,7812,364
SKU00024,Product-24,7197,379
SKU00025,Product-25,22,967
SKU00026,Product-26,2339,1044
SKU00027,Product-27,5182,342
SKU00028,Product-28,7714,1752
SKU00029,Product-29,6066,1713
SKU00030,Product-30,771,1470
SKU00031,Product-31,8167,1640
SKU00032,Product-32,1554,1568
SKU00033,Product-33,6032,649
SKU00034,Product-34,381,1087
SKU00035,Product-35,1621,1210
SKU00036,Product-36,6046,1179
SKU00037,Product-37,3671,89
SKU00038,Product-38,7756,691
SKU00039,Product-39,7633,1937
SKU00040,Product-40,5944,893
SKU00041,Product-41,9876,233
SKU00042,Product-42,9954,856
SKU00043,Product-43,2966,969
SKU00044,Product-44,6655,290
SKU00045,Product-45,9874,1851
SKU00046,Product-46,2878,298
SKU00047,Product-47,6629,1017
SKU00048,Product-48,7284,657
SKU00049,Product-49,8640,342
SKU00050,Product-50,2225,1286
SKU00051,Product-51,933,711
SKU00052,Product-52,9033,153
SKU00053,Product-53,1409,884
SKU00054,Product-54,7653,1618
SKU00055,Product-55,6866,767
SKU00056,Product-56,6094,1289
SKU00057,Product-57,8973,161
SKU00058,Product-58,1192,635
SKU00059,Product-59,1295,149
SKU00060,Product-60,1348,635
SKU00061,Product-61,2552,419
SKU00062,Product-62,3104,358
SKU00063,Product-63,6298,1037
SKU00064,Product-64,9329,1023
SKU00065,Product-65,2059,712
SKU00066,Product-66,4093,1817
