order_id,customer,quantity,status
ORD00001,"Perez, Hughes and Collins",348,Processing
ORD00002,Sherman-Wang,99,Delivered
ORD00003,"Norton, Smith and Anderson",469,Processing
ORD00004,Medina-Perry,399,Cancelled
ORD00005,Tate-Scott,28,Shipped
ORD00006,Cardenas Ltd,498,Processing
ORD00007,Bentley-Lee,432,Shipped
ORD00008,"Hernandez, Watts and Nelson",478,Processing
ORD00009,"Smith, Rodriguez and Johnson",303,Cancelled
ORD00010,Brown-Wilson,398,Pending
ORD00011,"Fowler, Brown and Lucero",443,Pending
ORD00012,Freeman-Lewis,327,Cancelled
ORD00013,Payne-Mcdaniel,379,Delivered
ORD00014,"Valentine, Nguyen and Mccormick",165,Cancelled
ORD00015,Parsons LLC,320,Cancelled
ORD00016,James-Adams,399,Processing
ORD00017,Ortiz Group,209,Pending
ORD00018,Petersen-Gonzales,339,Processing
ORD00019,Chapman Inc,106,Delivered
ORD00020,Rangel-Oliver,428,Shipped
ORD00021,Roberts Inc,278,Delivered
ORD00022,Hess Inc,71,Processing
ORD00023,"Galloway, Brown and Wilson",216,Processing
ORD00024,Miller-Smith,31,Pending
ORD00025,"Casey, Miller and Webb",327,Pending
ORD00026,"Curtis, Leonard and Perez",354,Cancelled
ORD00027,"Fields, Larson and Hughes",275,Delivered
ORD00028,Benson Inc,388,Pending
ORD00029,"Christensen, Sherman and Shaw",484,Processing
ORD00030,White PLC,234,Processing
ORD00031,"Marshall, Taylor and Miller",15,Processing
ORD00032,Lopez Inc,87,Processing
ORD00033,Richards LLC,14,Shipped
ORD00034,Hall LLC,429,Cancelled
ORD00035,"Woods, Juarez and Stanley",301,Cancelled
ORD00036,Jones Ltd,125,Delivered
ORD00037,Velasquez-Coleman,125,Delivered
ORD00038,Cook LLC,478,Pending
ORD00039,"Palmer, Coleman and Diaz",301,Cancelled
ORD00040,Sanchez-Miller,295,Shipped
ORD00041,"Murphy, Perez and Payne",29,Shipped
ORD00042,"Santos, Taylor and Lopez",493,Cancelled
ORD00043,"Villanueva, Morrison and Garrett",236,Processing
ORD00044,Roy Inc,251,Processing
ORD00045,Bryan Ltd,3,Pending
ORD00046,Potter Inc,256,Processing
ORD00047,Holden-Benjamin,50,Delivered
ORD00048,"Lewis, Edwards and Santos",334,Pending
ORD00049,Garrett and Sons,392,Delivered
ORD00050,Kennedy-Thompson,234,Processing
ORD00051,"Howard, Rogers and Roberts",436,Pending
ORD00052,Casey-Jackson,61,Cancelled
ORD00053,Kirby Inc,173,Cancelled
ORD00054,Garcia-Murphy,112,Pending
ORD00055,Myers-Harris,156,Pending
ORD00056,Higgins LLC,353,Pending
ORD00057,Castaneda-Gardner,98,Pending
ORD00058,Brown-Contreras,269,Delivered
ORD00059,"Davis, Hale and Johnson",474,Cancelled
ORD00060,Johnson-Robinson,462,Delivered
ORD00061,Moore-Nguyen,336,Pending
ORD00062,Jones-Mullins,239,Shipped
ORD00063,Ryan-Allen,194,Delivered
ORD00064,Williams Ltd,437,Processing
ORD00065,Thomas-Haynes,146,Cancelled
ORD00066,Huerta and Sons,52,Delivered
ORD00067,"Stevens, Jackson and Santos",302,Pending
ORD00068,"Berry, Mcknight and Barnes",135,Processing
ORD00069,Anderson Ltd,332,Shipped
ORD00070,Ferguson Ltd,112,Delivered
ORD00071,Noble-Castro,134,Processing
ORD00072,"Burns, Ruiz and Bray",37,Delivered
ORD00073,"Duncan, Smith and Robinson",238,Shipped
ORD00074,"Huffman, Jones and Rodriguez",258,Processing
ORD00075,"Gibson, Lawson and Wilson",60,Processing
ORD00076,"Mitchell, Harris and Simmons",303,Pending
ORD00077,"Smith, Harris and Owens",392,Pending
ORD00078,Williams PLC,474,Pending
ORD00079,Gray PLC,70,Shipped
ORD00080,Perkins Group,49,Pending
ORD00081,Jones-Graham,170,Delivered
ORD00082,"Howe, French and Williams",12,Processing
ORD00083,"Lucero, Ramsey and Thomas",285,Shipped
ORD00084,"Brown, Smith and Brown",403,Shipped
ORD00085,Savage LLC,11,Delivered
ORD00086,James-Willis,133,Shipped
ORD00087,Roberts Group,164,Pending
ORD00088,Copeland-Booth,309,Delivered
ORD00089,Cooper Ltd,433,Shipped
ORD00090,Baker PLC,217,Delivered
ORD00091,Valenzuela-Peters,305,Shipped
ORD00092,Lang PLC,112,Cancelled
ORD00093,Watson LLC,495,Shipped
ORD00094,Garcia-Rodriguez,456,Cancelled
ORD00095,Yang-Gordon,460,Processing
ORD00096,"Hansen, Austin and Perez",43,Shipped
ORD00097,"Tran, Davis and Clark",328,Shipped
ORD00098,Galloway Group,251,Cancelled
ORD00099,Carpenter-Howard,385,Delivered
ORD00100,"Bell, Salinas and Scott",194,Pending
ORD00101,"Kane, Andrade and Evans",68,Shipped
ORD00102,"Cox, Montes and Lucas",56,Shipped
ORD00103,Thomas Ltd,66,Cancelled
ORD00104,Sims-Acosta,222,Shipped
ORD00105,Martinez and Sons,227,Pending
ORD00106,"Franklin, Ward and Jordan",342,Cancelled
ORD00107,Lopez-Ortega,26,Shipped
ORD00108,"Griffith, Carter and Rowland",463,Processing
ORD00109,Valenzuela-Davis,60,Processing
ORD00110,Dawson PLC,134,Processing
ORD00111,"Cook, Yang and Henry",112,Cancelled
ORD00112,"Wilson, Livingston and Davis",321,Processing
ORD00113,"Holland, Garcia and Mann",486,Delivered
ORD00114,Tanner LLC,97,Pending
ORD00115,"Hines, Kerr and Sweeney",62,Processing
ORD00116,Moore-Gray,197,Delivered
ORD00117,"Martin, Black and Watson",191,Processing
ORD00118,Mitchell-Moyer,116,Delivered
ORD00119,Robinson LLC,275,Pending
ORD00120,"Ferguson, Cooper and Suarez",380,Shipped
ORD00121,Grant-Richardson,343,Pending
ORD00122,"Mccarty, Morris and Rodriguez",203,Cancelled
ORD00123,Turner-Graham,337,Cancelled
ORD00124,"Wood, Davies and Mckenzie",450,Pending
ORD00125,Parsons-Garner,61,Pending
ORD00126,Long Group,220,Processing
ORD00127,"Washington, Hall and Bennett",384,Delivered
ORD00128,Morgan Ltd,147,Processing
ORD00129,Smith-Thompson,137,Shipped
ORD00130,Lowe LLC,460,Processing
ORD00131,"Martin, Ellis and Woods",450,Shipped
ORD00132,Mcgee Group,289,Shipped
ORD00133,Morrow Group,154,Pending
ORD00134,"Jones, Good and Barnes",169,Pending
ORD00135,"Jones, Adams and Hall",101,Delivered
ORD00136,Gillespie-Moreno,131,Processing
ORD00137,Berry and Sons,217,Processing
ORD00138,Ferrell-Tucker,287,Pending
ORD00139,Khan LLC,226,Shipped
ORD00140,Irwin Inc,359,Processing
ORD00141,Hoover-Hubbard,127,Cancelled
ORD00142,"Jones, Jackson and Jenkins",179,Delivered
ORD00143,Martinez-Chandler,245,Shipped
ORD00144,Burke PLC,235,Processing
ORD00145,Gibson and Sons,449,Cancelled
ORD00146,Adams Inc,363,Delivered
ORD00147,Ford and Sons,113,Delivered
ORD00148,Williams-Nguyen,440,Processing
ORD00149,"Johnson, Barry and Hale",265,Delivered
ORD00150,"Davis, Davis and Wright",216,Pending
ORD00151,"Stone, Lopez and Wells",115,Processing
ORD00152,Best-Salazar,99,Cancelled
ORD00153,Love-Becker,145,Delivered
ORD00154,Martin LLC,129,Pending
ORD00155,Hale Inc,190,Processing
ORD00156,"Rogers, Crosby and Gonzales",371,Shipped
ORD00157,Jones Inc,493,Delivered
ORD00158,"Lee, Flores and Bailey",59,Delivered
ORD00159,"Franklin, Harris and Hayes",416,Shipped
ORD00160,"Miller, Williams and Anderson",258,Processing
