shipment_id,origin,destination,delay_days
SHP00001,India,China,27
SHP00002,Japan,USA,29
SHP00003,China,Japan,13
SHP00004,India,China,13
SHP00005,China,India,25
SHP00006,India,USA,17
SHP00007,Germany,India,10
SHP00008,China,Germany,13
SHP00009,USA,Germany,18
SHP00010,Japan,China,15
SHP00011,Germany,China,3
SHP00012,USA,China,1
SHP00013,India,Germany,29
SHP00014,USA,USA,0
SHP00015,USA,India,29
SHP00016,USA,India,0
SHP00017,Japan,China,12
SHP00018,China,China,5
SHP00019,Japan,USA,20
SHP00020,China,India,12
SHP00021,India,USA,0
SHP00022,India,China,17
SHP00023,Germany,USA,2
SHP00024,USA,China,10
SHP00025,India,India,12
SHP00026,USA,Japan,16
SHP00027,Germany,Germany,21
SHP00028,India,Germany,13
SHP00029,Japan,India,25
SHP00030,Germany,India,9
SHP00031,China,Germany,12
SHP00032,USA,India,15
SHP00033,India,China,2
SHP00034,Germany,China,26
SHP00035,USA,Japan,5
SHP00036,USA,India,12
SHP00037,China,China,27
SHP00038,Germany,USA,5
SHP00039,China,India,16
SHP00040,Japan,USA,13
SHP00041,Germany,Germany,23
SHP00042,USA,Germany,17
SHP00043,India,India,3
SHP00044,China,Germany,12
SHP00045,Germany,China,1
SHP00046,India,India,17
SHP00047,USA,China,9
SHP00048,Japan,India,28
SHP00049,Japan,USA,27
SHP00050,USA,Japan,29
SHP00051,USA,Japan,24
SHP00052,India,USA,11
SHP00053,India,China,25
SHP00054,USA,China,26
SHP00055,Germany,China,14
SHP00056,China,Japan,2
SHP00057,Germany,China,6
SHP00058,China,China,19
SHP00059,India,China,11
SHP00060,Japan,Germany,27
SHP00061,Japan,Japan,29
SHP00062,China,USA,8
SHP00063,Japan,India,10
SHP00064,USA,Japan,3
SHP00065,USA,India,19
SHP00066,USA,Germany,11
SHP00067,Japan,Germany,19
SHP00068,China,India,19
SHP00069,Germany,China,19
SHP00070,India,India,29
SHP00071,India,Germany,24
SHP00072,India,India,12
SHP00073,India,India,12
SHP00074,Germany,Germany,9
SHP00075,Germany,China,3
SHP00076,USA,Germany,18
SHP00077,Germany,Japan,0
SHP00078,USA,Germany,13
SHP00079,USA,USA,4
SHP00080,Japan,India,14
SHP00081,India,Germany,20
SHP00082,Japan,Germany,25
SHP00083,India,India,5
SHP00084,Japan,Germany,27
SHP00085,Japan,China,0
SHP00086,China,India,22
SHP00087,Germany,Germany,9
SHP00088,Germany,Japan,6
SHP00089,China,Japan,26
SHP00090,USA,India,16
SHP00091,India,USA,15
SHP00092,China,China,3
SHP00093,Japan,India,9
SHP00094,USA,Japan,9
SHP00095,Germany,India,4
SHP00096,India,USA,13
SHP00097,Japan,India,20
SHP00098,India,USA,0
SHP00099,India,Germany,12
SHP00100,India,Japan,3
SHP00101,India,Japan,3
SHP00102,USA,India,6
SHP00103,Japan,India,12
SHP00104,Japan,Japan,17
SHP00105,USA,China,6
SHP00106,China,India,21
SHP00107,Japan,China,18
SHP00108,Germany,Germany,13
SHP00109,China,USA,16
SHP00110,Japan,India,6
SHP00111,Japan,Japan,23
SHP00112,India,Germany,4
SHP00113,China,Japan,8
SHP00114,India,Germany,7
SHP00115,Germany,USA,15
SHP00116,India,USA,30
SHP00117,USA,Japan,5
SHP00118,Japan,India,24
SHP00119,Germany,Germany,3
SHP00120,USA,China,18
SHP00121,China,Japan,3
SHP00122,India,USA,26
SHP00123,USA,Japan,10
SHP00124,China,USA,1
SHP00125,Japan,Japan,4
SHP00126,USA,Japan,4
SHP00127,Germany,Germany,15
SHP00128,USA,India,8
SHP00129,China,Japan,24
SHP00130,India,India,21
SHP00131,China,India,8
SHP00132,India,Japan,3
SHP00133,China,India,15
SHP00134,Japan,Germany,17
SHP00135,Japan,Germany,5
