supplier_id,name,country,risk_score
SUP00001,Martinez-Holland,Germany,43
SUP00002,Norton-Brown,Singapore,96
SUP00003,"Holt, Mcdonald and Barber",UK,35
SUP00004,Lopez-Lam,India,16
SUP00005,Bartlett and Sons,Germany,78
SUP00006,Briggs-Fisher,UK,58
SUP00007,Jones-Ward,USA,69
SUP00008,"Ross, Lara and Gordon",India,59
SUP00009,Wilcox Ltd,Singapore,56
SUP00010,"Mcdonald, Thompson and Vincent",Germany,25
SUP00011,Garrison-Bray,USA,67
SUP00012,Morton Ltd,China,56
SUP00013,"Hernandez, Spencer and Rodriguez",USA,58
SUP00014,Jordan Ltd,China,52
SUP00015,"Williams, Garcia and Hall",China,3
SUP00016,Ramsey Inc,Japan,84
SUP00017,Beasley Ltd,Singapore,73
SUP00018,Rollins Inc,China,50
SUP00019,Olsen LLC,India,68
SUP00020,"Hill, Johnston and Nichols",Japan,47
SUP00021,Garner-Mercer,USA,100
SUP00022,"Baker, Vargas and Malone",China,5
SUP00023,Clark PLC,USA,11
SUP00024,"Johnston, Ingram and White",Japan,66
SUP00025,Hopkins-Le,China,15
SUP00026,Ochoa Group,USA,77
SUP00027,Cruz Group,UK,95
SUP00028,Huber-Jarvis,USA,53
SUP00029,Oconnor-Collins,Germany,82
SUP00030,"Smith, Wilson and Ray",USA,15
SUP00031,Clark-Banks,USA,61
SUP00032,"Moore, Vaughn and Walker",Germany,46
SUP00033,Price PLC,USA,93
SUP00034,Willis-Sanchez,India,43
SUP00035,"Walker, Jones and Smith",Singapore,26
SUP00036,"Johnson, Sims and Norris",Germany,32
SUP00037,Hall PLC,Japan,12
SUP00038,Howe-Lopez,China,25
SUP00039,"Herrera, Nelson and Gonzalez",Germany,60
SUP00040,Russell Group,Germany,43
SUP00041,Hunt-Griffin,UK,52
SUP00042,Torres-Conley,UK,32
SUP00043,Jones-Brown,Singapore,62
SUP00044,Smith-Horton,India,87
SUP00045,White LLC,UK,4
SUP00046,Wade-Crawford,Singapore,95
SUP00047,Martin Ltd,USA,6
SUP00048,Boone-Gamble,Japan,96
SUP00049,Martin PLC,USA,43
SUP00050,Ortiz Ltd,Japan,78
SUP00051,"Bush, Mitchell and Franco",Japan,9
SUP00052,Thompson PLC,UK,72
SUP00053,Little Inc,Singapore,97
SUP00054,Perez Ltd,Japan,100
SUP00055,Johnson-Mcdonald,Germany,8
SUP00056,Garcia Ltd,Singapore,88
SUP00057,"Munoz, Bean and Flynn",Singapore,32
SUP00058,Butler-Ewing,USA,13
SUP00059,"Jackson, Horton and Murray",China,45
SUP00060,Sullivan-Barnes,USA,2
SUP00061,Lee-Wyatt,India,18
SUP00062,Romero-Cervantes,UK,12
SUP00063,King LLC,Japan,52
SUP00064,Thomas-Contreras,UK,92
SUP00065,Robinson-Miller,USA,16
SUP00066,Lloyd Group,Singapore,66
SUP00067,Herman PLC,Japan,85
SUP00068,Salazar and Sons,Japan,96
SUP00069,Henderson Inc,Japan,68
SUP00070,Davis and Sons,Japan,61
SUP00071,Wyatt-Estrada,Germany,13
SUP00072,Cooper Group,China,94
SUP00073,Robinson-Morales,UK,75
SUP00074,Thompson Inc,USA,48
SUP00075,Cordova and Sons,China,62
SUP00076,Larson-Brown,China,86
SUP00077,White-Rice,Japan,58
SUP00078,"Ward, White and Tanner",India,95
SUP00079,Carter-Russell,UK,85
SUP00080,Harper and Sons,Japan,35
SUP00081,"Perez, Collins and Howard",China,33
SUP00082,Bennett and Sons,Germany,41
SUP00083,Lucas PLC,USA,90
SUP00084,Gonzalez Group,Germany,58
SUP00085,"Butler, Branch and Harris",UK,70
SUP00086,Fitzgerald and Sons,Japan,58
SUP00087,"Long, Reed and Reed",India,22
SUP00088,Booth Group,USA,76
SUP00089,Brown PLC,China,41
SUP00090,"Dunn, Carter and Wood",UK,9
SUP00091,Brock-Kim,Singapore,17
SUP00092,Carson-Sanders,USA,31
SUP00093,"Drake, Fisher and Nelson",China,55
SUP00094,Taylor PLC,Japan,30
SUP00095,Jones-Jensen,USA,93
SUP00096,"Morris, Burke and Young",UK,92
SUP00097,"Morrison, Allen and Nelson",China,19
SUP00098,"Becker, Hernandez and Moyer",China,37
SUP00099,Robinson Inc,Germany,45
SUP00100,"Kelley, Davis and Molina",Japan,98
SUP00101,Cook-Henry,China,39
SUP00102,"Hawkins, Hall and Nelson",Germany,35
SUP00103,Reilly-Ortiz,India,76
SUP00104,Patterson PLC,China,73
SUP00105,Bennett PLC,India,98
SUP00106,"Butler, Black and Simmons",China,72
SUP00107,Moore-Melendez,Japan,79
SUP00108,Jones Inc,China,20
SUP00109,Smith-Palmer,UK,28
SUP00110,French-Mills,China,69
SUP00111,Monroe Ltd,Germany,97
SUP00112,Smith Inc,India,23
SUP00113,Kelley-Martin,China,56
SUP00114,Salazar-Hendricks,India,82
SUP00115,Yang-Morrison,Germany,70
SUP00116,"Stewart, Lambert and James",Germany,64
SUP00117,Benitez-Ramos,UK,92
SUP00118,"Bolton, Graves and Rodriguez",India,40
SUP00119,Oneill Group,Japan,67
SUP00120,"Ramos, Rodriguez and White",Japan,18
SUP00121,Sullivan PLC,Singapore,27
SUP00122,Williams LLC,India,92
SUP00123,Martinez Ltd,UK,56
SUP00124,"Walker, Garner and Smith",Germany,98
SUP00125,"Lee, Wilson and Woods",Singapore,93
SUP00126,Robles LLC,UK,10
SUP00127,"Phillips, Morgan and Gibbs",USA,85
SUP00128,Pierce Group,Germany,59
SUP00129,"Nelson, Stephens and Taylor",India,20
SUP00130,Roman Ltd,China,77
SUP00131,"Ramirez, Powell and Powell",Germany,53
SUP00132,Mcmillan-Ford,Singapore,92
SUP00133,Villa PLC,China,37
SUP00134,Brown-Smith,USA,11
SUP00135,Johnson-Vargas,China,49
SUP00136,"Gregory, Campbell and Moore",China,75
